username,email,age
teen0,teen0@example.com,15
teen1,teen1@example.com,19
teen2,teen2@example.com,13
teen3,teen3@example.com,13
teen4,teen4@example.com,16
teen5,teen5@example.com,14
teen6,teen6@example.com,18
teen7,teen7@example.com,13
teen8,teen8@example.com,15
teen9,teen9@example.com,18
teen10,teen10@example.com,17
teen11,teen11@example.com,19
teen12,teen12@example.com,19
teen13,teen13@example.com,13
teen14,teen14@example.com,13
teen15,teen15@example.com,18
teen16,teen16@example.com,17
teen17,teen17@example.com,16
teen18,teen18@example.com,14
teen19,teen19@example.com,16
